date,title,short_opening,url
2022/3/10,Ukrainian President Zelensky to address Canadian Parliament,Zelensky will appear virtually to address lawmakers ...,https://www.ctvnews.ca/politics/article/ukrainian-president-zelensky-to-address-canadian-parliament-on-tuesday/
2022/3/10,GOP lawmaker calls Zelensky a 'thug' and Ukrainian government 'incredibly evil',North Carolina Rep. Madison Cawthorn called President Zelensky a thug ...,https://www.ctvnews.ca/world/article/gop-lawmaker-calls-zelensky-a-thug-and-ukrainian-government-incredibly-evil/
2022/3/10,Trudeau rejects Zelensky's request for a no-fly-zone,Trudeau says he denied Zelensky__ request due to escalation fears ...,https://www.ctvnews.ca/world/article/trudeau-rejects-zelenskys-request-for-a-no-fly-zone-citing-fears-of-russian-escalation/
2022/3/5,U.S. senators criticized after tweeting photos of Zoom call with Zelensky,Senators criticized for sharing Zelensky meeting photos ...,https://www.ctvnews.ca/world/article/us-senators-criticized-after-tweeting-photos-of-zoom-call-with-zelensky/
2022/3/5,Zelensky 'desperate' plea to U.S. Congress: Send more planes,Ukraine's leader made a desperate plea to U.S. lawmakers ...,https://www.ctvnews.ca/world/article/zelensky-desperate-plea-to-us-congress-send-more-planes/
2022/3/3,Comedy series starring Zelensky gets boost in popularity,__ervant of the People_ starring Zelensky surges in popularity ...,https://www.ctvnews.ca/lifestyle/entertainment/article/comedy-series-starring-zelensky-gets-boost-in-popularity/
2022/3/3,Live updates: Zelensky talks to leaders about nuclear plant,President Zelensky informed leaders about the situation ...,https://www.ctvnews.ca/world/article/live-updates-zelensky-talks-to-leaders-about-nuclear-plant/
2022/3/1,"Through memes and videos, Zelensky emerges as pop culture hero",Zelensky becomes a modern pop-culture hero online ...,https://www.ctvnews.ca/montreal/article/through-memes-and-videos-zelensky-emerges-as-pop-culture-hero-in-the-social-media-age/
2022/2/28,How Zelensky is changing the West's response to Russia,Zelensky and his courageous defiance influence Western response ...,https://www.ctvnews.ca/world/article/how-zelensky-is-changing-the-wests-response-to-russia/
2022/2/27,Trump defends praise of Putin even as he calls Zelensky 'a brave man',Former U.S. President Trump called Zelensky a brave man ...,https://www.ctvnews.ca/world/article/trump-defends-praise-of-putin-even-as-he-calls-zelensky-a-brave-man/
2022/2/26,Zelensky refuses U.S. offer to evacuate,"Zelensky: 'I need ammunition, not a ride' ...",https://www.ctvnews.ca/world/article/zelensky-refuses-us-offer-to-evacuate-saying-i-need-ammunition-not-a-ride/
2022/2/25,Defiant Zelensky releases video with top Ukrainian officials,President Zelensky released a video as Russians moved on Kyiv ...,https://www.ctvnews.ca/world/article/defiant-zelensky-releases-video-with-top-ukrainian-officials-as-russians-move-on-kyiv/
2022/2/24,Volodymyr Zelensky: from TV actor to president,Profile of Zelensky__ rise to presidency ...,https://www.ctvnews.ca/world/article/ukrainian-president-volodymyr-zelensky-from-tv-actor-to-president/
2021/4/8,Ukraine's Zelensky on frontline as Merkel urges Putin to pull back troops,Zelensky travelled to Ukraine__ eastern frontline ...,https://www.ctvnews.ca/world/article/ukraines-zelensky-on-frontline-as-merkel-urges-putin-to-pull-back-troops/
2020/11/9,Ukraine's Zelensky tests positive for coronavirus,President Zelensky said he tested positive but felt fine ...,https://www.ctvnews.ca/lifestyle/article/ukraines-zelensky-tests-positive-for-coronavirus/
2020/1/14,"Zelensky says he, Trudeau talk crash punishment, as Iran announces arrests",President Zelensky discussed crash accountability with Trudeau ...,https://www.ctvnews.ca/canada/article/zelensky-says-he-trudeau-talk-crash-punishment-as-iran-announces-arrests/
